Timestamp,Transaction Type,Asset,Quantity Transacted,Price Currency,Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2024-03-06 17:03:56 UTC,Receive,BTC,0.08721769,USD,66924.91999994985,5837.04,5837.04,0,Received 0.08721769 BTC from Jared Early
2024-03-06 17:03:56 UTC,Send,BTC,0.08721769,USD,66924.91999994985,5837.04,5837.04,0,Sent 0.08721769 BTC to Jared Early
2024-03-05 18:54:06 UTC,Receive,BTC,0.08721769,USD,63822.8,5566.48,5566.48,0,Received 0.08721769 BTC from Jared Early
2024-03-05 18:54:06 UTC,Send,BTC,0.08721769,USD,63822.8,5566.48,5566.48,0,Sent 0.08721769 BTC to Jared Early
2024-03-04 17:01:59 UTC,Withdrawal,USD,18311.32,USD,1,18311.32,18311.32,0,
2024-03-04 17:00:07 UTC,Sell,USD,18311.03,USD,1,18311.03,18311.03,0,Sold 18311.03 USD for 18311.03 USD
2024-03-04 17:00:07 UTC,Sell,USDC,18311.03117,USD,0.9999999360494781,18311.03,18311.03,0,Sold 18311.031171 USDC for 18311.03 USD
2024-03-04 16:58:09 UTC,Convert,ETH,2.79084253,USD,3554.97,9672.63,9920.64,248.0035088,Converted 2.79084253 ETH to 9672.632341 USDC
2024-03-04 16:57:46 UTC,Convert,BTC,0.13307192,USD,66392.33,8638.35,8858.98,220.628395,Converted 0.13307192 BTC to 8638.347909 USDC
2024-03-04 16:32:11 UTC,Receive,BTC,0.08721769,USD,66312.825,5783.65,5783.65,0,Received 0.08721769 BTC from Jared Early
2024-03-04 16:32:11 UTC,Send,BTC,0.08721769,USD,66312.825,5783.65,5783.65,0,Sent 0.08721769 BTC to Jared Early
2024-03-03 17:37:03 UTC,Staking Income,SOL,0.000335484,USD,130.345,0.04,0.04,0,
2024-03-02 08:53:44 UTC,Staking Income,ADA,0.074213,USD,0.7459,0.06,0.06,0,
2024-03-02 02:47:35 UTC,Staking Income,SOL,0.00033651,USD,129.58,0.04,0.04,0,
2024-02-29 18:03:12 UTC,Advance Trade Buy,ETH,0.00367248,USD,3385.97,12.43,12.48,0.049739628,Bought 0.00367248 ETH for 12.48 USD on ETH-USDC
2024-02-29 18:02:46 UTC,Advance Trade Buy,BTC,0.000204,USD,60905.83,12.42,12.47,0.049699157,Bought 0.000204 BTC for 12.47 USD on BTC-USDC
2024-02-29 17:59:05 UTC,Buy,USDC,25,USD,1,25,25,0,Bought 25 USDC for 25.00 USD
2024-02-28 23:51:25 UTC,Staking Income,SOL,0.000012985,USD,117.96,0,0,0,
2024-02-27 17:08:05 UTC,Staking Income,SOL,0.000319602,USD,107.195,0.03,0.03,0,
2024-02-26 18:41:33 UTC,Staking Income,SOL,0.00000013,USD,109.02,0,0,0,
2024-02-26 00:20:48 UTC,Staking Income,ADA,0.073001,USD,0.5903,0.04,0.04,0,
2024-02-25 17:14:39 UTC,Staking Income,SOL,0.000317495,USD,102.765,0.03,0.03,0,
2024-02-23 20:37:51 UTC,Staking Income,SOL,0.000327932,USD,101.29,0.03,0.03,0,
2024-02-22 23:42:03 UTC,Staking Income,ADA,0.070503,USD,0.587,0.04,0.04,0,
2024-02-22 03:37:11 UTC,Staking Income,SOL,0.000327968,USD,102.955,0.03,0.03,0,
2024-02-19 18:36:12 UTC,Staking Income,SOL,0.000329449,USD,112.065,0.04,0.04,0,
2024-02-17 19:44:58 UTC,Staking Income,SOL,0.000331336,USD,107.85,0.04,0.04,0,
2024-02-16 03:18:19 UTC,Staking Income,ADA,0.074152,USD,0.6039,0.04,0.04,0,
2024-02-15 17:01:47 UTC,Staking Income,SOL,0.000328499,USD,114.465,0.04,0.04,0,
2024-02-13 18:28:44 UTC,Staking Income,SOL,0.000327595,USD,111.665,0.04,0.04,0,
2024-02-11 17:45:33 UTC,Staking Income,SOL,0.00032835,USD,108.82,0.04,0.04,0,
2024-02-11 01:05:25 UTC,Staking Income,ADA,0.072399,USD,0.5599,0.04,0.04,0,
2024-02-09 17:47:41 UTC,Staking Income,SOL,0.00033144,USD,105.12,0.03,0.03,0,
2024-02-06 17:28:55 UTC,Staking Income,SOL,0.000327266,USD,95.665,0.03,0.03,0,
